Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude
Eastern,Trincomalee,108,5,2019,2019-05-01,Trincomalee,35.26451612903226,27.258064516129032,30.574193548387097,10.7,10.7,6.466774193548387,22.648387096774194,8.599998,81.20001
Eastern,Trincomalee,97,6,2019,2019-06-01,Trincomalee,34.97666666666667,27.39333333333333,30.41,7.7,7.7,6.595,28.0,8.599998,81.20001
Eastern,Trincomalee,105,7,2019,2019-07-01,Trincomalee,34.377419354838715,26.761290322580646,29.835483870967742,21.2,21.2,6.183870967741935,24.299999999999997,8.599998,81.20001
Eastern,Trincomalee,52,8,2019,2019-08-01,Trincomalee,32.81935483870968,26.141935483870967,28.635483870967743,56.0,56.0,5.564193548387097,28.080645161290324,8.599998,81.20001
Eastern,Trincomalee,45,9,2019,2019-09-01,Trincomalee,32.28333333333333,25.823333333333334,28.310000000000002,101.3,101.3,5.207666666666667,21.82,8.599998,81.20001
Eastern,Trincomalee,85,10,2019,2019-10-01,Trincomalee,28.93548387096774,24.77741935483871,26.496774193548386,305.5,305.5,3.5232258064516127,15.251612903225807,8.599998,81.20001
Eastern,Trincomalee,536,11,2019,2019-11-01,Trincomalee,28.67,24.779999999999998,26.506666666666668,217.3,217.3,3.5953333333333335,15.55,8.599998,81.20001
Eastern,Trincomalee,1366,12,2019,2019-12-01,Trincomalee,27.338709677419356,24.580645161290324,25.96451612903226,242.1,242.1,3.1390322580645162,19.36774193548387,8.599998,81.20001
North Western,Kurunegala,215,1,2019,2019-01-01,Kurunegala,29.75483870967742,21.787096774193547,25.322580645161292,3.4,3.4,4.406451612903226,15.906451612903227,7.5,80.399994
North Western,Kurunegala,147,2,2019,2019-02-01,Kurunegala,30.62857142857143,22.87857142857143,26.2,103.9,103.9,4.226071428571428,13.417857142857143,7.5,80.399994
North Western,Kurunegala,148,3,2019,2019-03-01,Kurunegala,34.29354838709677,22.83225806451613,28.25483870967742,15.2,15.2,5.441935483870967,11.45483870967742,7.5,80.399994
North Western,Kurunegala,119,4,2019,2019-04-01,Kurunegala,33.27,24.336666666666666,28.17,117.5,117.5,4.59,10.803333333333335,7.5,80.399994
North Western,Kurunegala,121,5,2019,2019-05-01,Kurunegala,31.30322580645161,24.683870967741935,27.358064516129033,44.7,44.7,4.5119354838709675,18.312903225806455,7.5,80.399994
North Western,Kurunegala,134,6,2019,2019-06-01,Kurunegala,30.383333333333333,24.55,26.876666666666665,109.3,109.3,4.060666666666666,20.936666666666667,7.5,80.399994
North Western,Kurunegala,259,7,2019,2019-07-01,Kurunegala,30.348387096774193,24.212903225806453,26.654838709677417,91.1,91.1,4.277741935483871,19.683870967741935,7.5,80.399994
North Western,Kurunegala,263,8,2019,2019-08-01,Kurunegala,28.57741935483871,23.461290322580645,25.37741935483871,238.29999999999998,238.29999999999998,3.302258064516129,19.393548387096775,7.5,80.399994
North Western,Kurunegala,195,9,2019,2019-09-01,Kurunegala,29.14333333333333,23.293333333333333,25.583333333333332,163.0,163.0,3.753333333333333,16.013333333333335,7.5,80.399994
North Western,Kurunegala,350,10,2019,2019-10-01,Kurunegala,28.635483870967743,22.293548387096774,24.787096774193547,576.0,576.0,2.954516129032258,9.858064516129033,7.5,80.399994
